,sim,a,b,mean,variance,N,n,distance_assembly,distance_optimal,distance_naive,spp_name,ab_original,ab_optimal,ab_subcomm,ab_naive,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
0,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp1,1.81297666836643,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
1,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp2,4.23193536175065,6.94185954161042,6.94185954161033,4.23193536175065,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
2,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp3,0.361130803282735,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
3,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp4,0.779619352973201,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
4,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp5,0.358980936504742,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
5,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp6,1.047916815223,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
6,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp7,0.0607371899475922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,1.0,9.625,17.484375,8.0,1.0,0.698754332343535,0.6987543323435352,1.2636534908503536,spp8,0.154958191428851,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0,0.0,1.0,1.0,9.625,17.484375,8.0,2.0,0.19705636298547263,0.19705636298547155,0.48262787525375955,spp1,1.81297666836643,2.9626626673875163,2.96266266738749,1.81297666836643,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
1,0.0,1.0,1.0,9.625,17.484375,8.0,2.0,0.19705636298547263,0.19705636298547155,0.48262787525375955,spp2,4.23193536175065,5.213639652301033,5.21363965230094,4.23193536175065,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
